name,geo_address,tons_delivered,method
Exomad Green,"Centro Empresarial Torre Link, 6QCM+9GX, Cuarto Anillo, Santa Cruz de la Sierra, Bolivia",132794,Biochar Carbon Removal (BCR)
Aperam BioEnergia,"Av. Mercedez Bens 1420, Distrito Industrial, 13054-750 Campinas, Brazil",71428,Biochar Carbon Removal (BCR)
Wakefield Biochar,"1826 Clay Road, Valdosta, GA 31601, US",54293,Biochar Carbon Removal (BCR)
Carboneers,"J.B. Bakemaweg 54, 1333 LP Almere, Netherlands",48129,Biochar Carbon Removal (BCR)
Pacific Biochar,"3625 Yale Drive Santa Rosa, CA 95405",39659,Biochar Carbon Removal (BCR)
Freres Biochar,"141 14th St., Lyons, OR 97358, US",25919,Biochar Carbon Removal (BCR)
CarbonCure,"42 Payzant Ave, Dartmouth, Nova Scotia B3B 1Z6, CA",23191,Ex-situ Mineralization
Running Tide,Address not found,22880,Marine Biomass Sinking
Varaha,"1st Floor, Building No. 10, Poorvi Marg, Sector 25, DLF Ph-II, Gurgaon, DLF Ph-II, Haryana, India, 122008",20130,Biochar Carbon Removal (BCR)
Planboo,"Sankt Eriksgatan, Stockholm, Sweden",18654,Biochar Carbon Removal (BCR)
Douglas County Forest Products,"398 Del Rio Rd. Roseburg, OR 97471",13748,Biochar Carbon Removal (BCR)
Oregon Biochar Solutions,"2350 Avenue G, White City, Oregon 97503, US",11303,Biochar Carbon Removal (BCR)
Vaulted Deep,"Houston, TX, US",11275,Biomass Direct Storage
Charm Industrial,"2575 Marin St, San Francisco, CA 94124, United States",10803,Bio-oil Sequestration
Biochar Life,"434 Cedar Avenue, Highland Park, N.J. 08904. USA",10296,Biochar Carbon Removal (BCR)
Red Trail Energy,"3682 Highway 8 South PO Box 11, Richardton, North Dakota 58652, US",10000,Bioenergy with Carbon Capture and Storage (BECCS)
Carbon Sequestration Inc,4801 Woodway Dr. STE 335W Hou TX 77056,7100,Biomass Direct Storage
Carbofex,"Kaarnakatu 1, 37150 Nokia, Finland",6486,Biochar Carbon Removal (BCR)
Carbon Cycle,"Schwandorfer Str. 30, 92286 Rieden, Germany",6198,Biochar Carbon Removal (BCR)
MASH Makes,"Østersøvej 28B, 2150 Nordhavn, Denmark",5910,Biochar Carbon Removal (BCR)
Novocarbo,"Hermannstraße 40, 20095 Hamburg, DE",4863,Biochar Carbon Removal (BCR)
GreenSand,"Tussen Twee Havens 1, Enkhuizen, Noord-Holland 1601 EM, NL",4200,Enhanced Weathering
UNDO,"3rd Floor, 86-90 Paul Street, London, EC2A 4NE",3814,Enhanced Weathering
O.C.O. Technology,"Norfolk House, High Street, Brandon IP27 0AX, United Kingdom",3296,Ex-situ Mineralization
Bionero,"Industriestr. 9, Thurnau, 95349, DE",3278,Biochar Carbon Removal (BCR)
Neustark,"Freiburgstrasse 251 Berne, CH",3126,Ex-situ Mineralization
BluSky Carbon,"35 Research Parkway, Old Saybrook, Connecticut 06475",2963,Biochar Carbon Removal (BCR)
Carbuna,"Mendelssohnstraße 2, 87700 Memmingen, Germany",2899,Biochar Carbon Removal (BCR)
CharLine,"Oberwarter Straße 100, Riedlingsdorf, Burgenland 7422, AT",2858,Biochar Carbon Removal (BCR)
Oplandske Bioenergi (OBIO),"Honnevegen 60, Biri, Oppland 2836, NO",2427,Biochar Carbon Removal (BCR)
Bioenergie Frauenfeld,"Oberwiesenstrasse 124, Frauenfeld, Thurgau 8500, CH",2206,Biochar Carbon Removal (BCR)
Interholco,"Neuhofstrasse 25, 6340 Baar, Switzerland",2164,Biochar Carbon Removal (BCR)
Inkoh,Sägenstrasse 8,2161,Biochar Carbon Removal (BCR)
Graphyte,"Memphis, TN, USA",2137,Biomass Direct Storage
Nordgau,"Wernberg-Köblitz, Germany",2022,Biochar Carbon Removal (BCR)
Carbon Centric (SOLER Group),"2 Rue Gustave Eiffel, 10430 Rosières-près-Troyes",1932,Biochar Carbon Removal (BCR)
Bussme Energy,"233 44 Svedala, SE",1899,Biochar Carbon Removal (BCR)
NetZero,"4 rue Thiers, Paris, France",1717,Biochar Carbon Removal (BCR)
Climeworks,"Birchstrasse 155, Zürich, CH",1673,Direct Air Carbon Capture and Storage (DACCS)
Biokolprodukter,"Dragtorpsvägen 27, 618 32 Kolmården, Sweden",1503,Biochar Carbon Removal (BCR)
Circular Carbon,"Europaring 4, 94315 Straubing, Germany",1500,Biochar Carbon Removal (BCR)
Echo2,"Melbourne, Victoria, Australia",1451,Biochar Carbon Removal (BCR)
American Biocarbon,"32525 Highway 1 South, White Castle, LA 70788, US",1396,Biochar Carbon Removal (BCR)
Energiewerk Ilg,"Lise-Meitner-Str. 9, Ulm, 89081, DE",1271,Biochar Carbon Removal (BCR)
Ecoera,"Storgatan 1, Östra Tommarp, Sweden",1238,Biochar Carbon Removal (BCR)
Ökologische Klärschlammtrocknung Offenhausen GmbH,"Breitenbachstraße 1, 60487 Frankfurt am Main, Germany",1100,Biochar Carbon Removal (BCR)
Andes,"1210 Marina Village Pkwy, Alameda, CA 94501",993,Microbial Mineralization
Hjelmsäters Egendom,"533 94 Hällekis, Sweden",929,Biochar Carbon Removal (BCR)
Eion,"Princeton, NJ, US",894,Enhanced Weathering
Terra Fertilis | Sylva Fertilis,"19 Quai de Juillet, 14000 Caen, France",858,Biochar Carbon Removal (BCR)
Explocom GK SRL,"Strada Filiaș 102/D, Cristuru Secuiesc 535400, Romania",632,Biochar Carbon Removal (BCR)
Husk,"1159 NR2, Phnom Penh, Cambodia",613,Biochar Carbon Removal (BCR)
"Wongphai Co.,Ltd","1104/95 Pattanakan Road, Suangluang, Bangkok 10250 THAILAND",596,Biochar Carbon Removal (BCR)
Bordet,"Froidvent 21290 Leuglay, France",528,Biochar Carbon Removal (BCR)
Auen Pflege Dienst APD Flaach,"Andelfingerstrasse 20, 8416 Flaach, Switzerland",500,Biochar Carbon Removal (BCR)
Mati,"Chau. de Bruxelles 321, 1300 Wavre, Belgium",473,Enhanced Weathering
Carbon Hill,"Unit 1 Caebardd Farm, Guilsfield, Welshpool, Powys, SY21 9DJ",467,Biochar Carbon Removal (BCR)
Sonnenerde,"Oberwarter Straße 100, Riedlingsdorf, Burgenland 7422, AT",445,Biochar Carbon Removal (BCR)
Klimafarmer,"55283 Nierstein, Germany",423,Biochar Carbon Removal (BCR)
Verora,"Heiterstalden 1, 6313 Edlibach",415,Biochar Carbon Removal (BCR)
V-Grid Energy Systems,"513 Calle San Pablo, Camarillo, California 93012, US",411,Biochar Carbon Removal (BCR)
Pyrocal,"27 Heinemann Rd, Wellcamp, Queensland 4350, AU",409,Biochar Carbon Removal (BCR)
Corigin Solutions,"154 Hawk Dr, Merced, California 95341, US",394,Biochar Carbon Removal (BCR)
Premier Forest,"Newport, City Centre, Queensway, Newport, NP20 4AX, United Kingdom",325,Biochar Carbon Removal (BCR)
Jeffries Group,"412 Hanson Road North, Wingfield, SA 5013, AU",324,Biochar Carbon Removal (BCR)
Alcom Carbon Markets,"138 Cecil Street 12-01A Cecil Court, Singapore 069538",281,Biochar Carbon Removal (BCR)
BLOCK Bio Innovationen GmbH & Co. KG,"Albersdorfer Str. 23, 25767 Osterrade, Germany",262,Biochar Carbon Removal (BCR)
Carbon Capture Inc.,"Los Angeles, CA, US",237,Direct Air Carbon Capture and Storage (DACCS)
Gekka Biochar,"Strada Filiaș 102 d, Cristuru Secuiesc, Harghita 535401, RO",205,Biochar Carbon Removal (BCR)
Everest Carbon,"548 Market Street, San Francisco, CA, USA",175,Enhanced Weathering
Project Vesta,"San Francisco, California, 94105, United States",154,Enhanced Weathering
Planetary,"24 Orion Crt, Unit 24-1A/B, Dartmouth, Nova Scotia B2Y 4W6, CA",153,Ocean Alkalinity Enhancement
InPlanet,"Avenida Limeira, nº1131 - Areião, Piracicaba - SP, 13418-900, Brazil",141,Enhanced Weathering
"Restoration Fuels, LLC","60339 US-26 John Day, OR 97845 United States",137,Biochar Carbon Removal (BCR)
Harrison Renewables,Address not found,114,Biochar Carbon Removal (BCR)
Siotuu,Siotuu GmbH,104,Biochar Carbon Removal (BCR)
Biosorra,"Delta Corner Annex, Ring Rd Westlands Ln, Nairobi, Kenya",97,Biochar Carbon Removal (BCR)
Glanris,"11042 Wildwood Dr, Olive Branch, Mississippi 38654, US",70,Biochar Carbon Removal (BCR)
Carbo Culture,"Lönnrotinkatu, 00180 Helsinki, Finland",38,Biochar Carbon Removal (BCR)
Basna d.o.o.,"Atenica, Ravnogorska 001, Čačak 32104, Serbia",37,Biochar Carbon Removal (BCR)
Circonomy Pte. Ltd.,21 Jalan Jelita 278345 Singapore,30,
Lithos,"The Embarcadero, San Francisco, CA 94111",29,Enhanced Weathering
BC Biocarbon,"5269 MOUNTAINVIEW ROAD, MCBRIDE, BC V0J 2E0, CA",27,Biochar Carbon Removal (BCR)
Liquid Trees,"San Francisco, CA, USA",26,Microalgal Capture and Storage
Carbonex | Soler Group,"Gyé-sur-Seine (Aube, Grand Est, France)",24,Biochar Carbon Removal (BCR)
Fetzer Rohstoffe,"Ulmer Str. 98/1, 73054 Eislingen/Fils, Germany",22,Biochar Carbon Removal (BCR)
CarbonRun,"1 Research Drive, Dartmouth, Nova Scotia, B2Y 4M9",21,River Alkalinity Enhancement
Stiesdal,"Nyropsgade 37, First floor, Copenhagen, Capital Region 1602, DK",16,Biochar Carbon Removal (BCR)
Carbon Lockdown,"4254 Stadium Dr, College Park, MD 20740, US",15,Biomass Direct Storage
Woodcache PBC,"Provo, Utah",14,Biomass Direct Storage
Limenet,"Via Giovanni Amendola, 23900 Lecco LC, Italy",14,Ocean Alkalinity Enhancement
Gaia Refinery,"Halifax, NS, Canada",11,Direct Air Carbon Capture and Storage (DACCS)
AspiraDAC,"25 Bligh St, Suite 16.04, Sydney, New South Wales, AU",9,Direct Air Carbon Capture and Storage (DACCS)
Bluefield Renewable Energy,"73 Ayer Crescent, Singapore, 139952, SG",6,Biochar Carbon Removal (BCR)
Holy Grail,"Mountain View, California 94043, US",0,Direct Air Carbon Capture and Storage (DACCS)
Octavia Carbon,"Nairobi, Kenya",0,Direct Air Carbon Capture and Storage (DACCS)
1PointFive,"37322 Galbraith Road, Squamish, B.C., CA",0,Direct Air Carbon Capture and Storage (DACCS)
Euthenia Energy,"C. Arturo Rubinstein, 5, 29602 Marbella, Málaga, Spain",0,Biochar Carbon Removal (BCR)
Anvil Capture Systems,"40.678337721264036, -73.94289178982898",0,Ex-situ Mineralization
Equatic,"Los Angeles, California US",0,Direct Ocean Removal (DOR)
Stockholm Exergi,"Jägmästargatan 2, Stockholm, Stockholm 115 77, SE",0,Bioenergy with Carbon Capture and Storage (BECCS)
Cedar Carbon,"Brooklyn, New York",0,Direct Air Carbon Capture and Storage (DACCS)
Noya,"1901 Poplar St, Oakland, CA 94607, United States",0,Direct Air Carbon Capture and Storage (DACCS)
Planeteers,"Eimsbütteler Straße, 59, Hamburg, HH 22769, DE",0,Ocean Alkalinity Enhancement
Rewind.earth,"Yigal Alon, Tel Aviv - Yafo, IL",0,Marine Biomass Sinking
Arbon,"1001 Xueyuan Blvd, Nan Shan Qu, Shen Zhen Shi, Guang Dong Sheng, China, 518034",0,Direct Air Carbon Capture and Storage (DACCS)
CarbonBuilt,"20600 Gramercy Place, Suite 205 Torrance, CA 90501",0,Ex-situ Mineralization
Alkali Earth,"Northfield, MN, US",0,Enhanced Weathering
Captura,"Pasadena, California, US",0,Direct Ocean Removal (DOR)
Ørsted,"Asnæsvej 16, 4400 Kalundborg, Denmark",0,Bioenergy with Carbon Capture and Storage (BECCS)
Levitree,San Rafael,0,Biomass Direct Storage
Parallel Carbon,"Manchester, GB",0,Direct Air Carbon Capture and Storage (DACCS)
NULIFE Greentech,"1725 Ontario Avenue, Saskatoon, SK, Canada, S7K 1S9",0,Bio-oil Sequestration
Ucaneo,"c/o Factory Works GmbH, Rheinsberger Str. 76/77, 10115 Berlin",0,Direct Air Carbon Capture and Storage (DACCS)
SeaO2,"Johannes Vermeerplein 1, Amsterdam",0,Direct Ocean Removal (DOR)
Brilliant Planet,"Russell Building, West Common, Harpenden, AL5 2JQ, GB",0,Microalgal Capture and Storage
Arbor,"13 rue du Ranzay, 44300 Nantes",0,Bioenergy with Carbon Capture and Storage (BECCS)
CO280,"Vancouver, BC, Canada",0,Bioenergy with Carbon Capture and Storage (BECCS)
PyroCCS,"Neue Weyerstr. 2, 50676 Cologne, Germany",0,Biochar Carbon Removal (BCR)
Öresundskraft AB,Address not found,0,Bioenergy with Carbon Capture and Storage (BECCS)
Heirloom,"125 Valley Dr, Brisbane, CA 94005, United States",0,Direct Air Carbon Capture and Storage (DACCS)
TerraFixing,"Ottawa, Ontario, CA",0,Direct Air Carbon Capture and Storage (DACCS)
Phlair,"Gewerbegebiet Am Lenzenfleck, Am Lenzenfleck 17, 85737 Ismaning, Germany",0,Direct Air Carbon Capture and Storage (DACCS)
Skyrenu,"4070 Bd de Portland, Sherbrooke, QC, J1L 2Y4, Canada",0,Direct Air Carbon Capture and Storage (DACCS)
Yama Carbon,"16 rue Marx Dormoy, 75018, Paris",0,Direct Air Carbon Capture and Storage (DACCS)
Takachar,"Greater Kailash, New Delhi, Delhi 110048, India",0,Biochar Carbon Removal (BCR)
Nūxsen,"1230 Park Avenue, 3B, New York, NY 10128",0,Direct Air Carbon Capture and Storage (DACCS)
Emergent Waste Solution,"3757 Jacombs Rd, 230, Richmond, BC V6V 2R3, CA",0,Biochar Carbon Removal (BCR)
Bio Restorative Ideas,"53 Calle Palmeras, San Juan, PR",0,Biochar Carbon Removal (BCR)
CO₂ Energie | Regionalwerke AG Baden,"Haselstrasse 15, 5400 Baden, Switzerland",0,Bioenergy with Carbon Capture and Storage (BECCS)
Lillianah Technologies,"30103 Legends Ridge Dr, Spring, TX 77386, USA",0,Marine Biomass Sinking
InterEarth,"12-14 Thelma Street, Unit 11, West Perth, Western Australia 6005, AU",0,Biomass Direct Storage
Silicate,"Innovation Centre, ATU Sligo, Ash Lane, Sligo, F91 YW50, Ireland",0,Enhanced Weathering
Alithic,"Newlab, 19 Morris Ave, Brooklyn, NY 11205, United States",0,Direct Air Carbon Capture and Storage (DACCS)
Airhive,"58 Wood Lane, Scale Space, London, England W12 7RZ, GB",0,Direct Air Carbon Capture and Storage (DACCS)
Flux Carbon,"Kibos, Kisumu, Kenya",0,Enhanced Weathering
Aquarry,"Emeryville, CA",0,Ocean Alkalinity Enhancement
Drax,"Selby, North Yorkshire YO8 8PH, GB",0,Bioenergy with Carbon Capture and Storage (BECCS)
Holocene,"2641 Osprey Vista Way, Knoxville TN 37920",0,Direct Air Carbon Capture and Storage (DACCS)
The Next 150,"Av. Ejército Nacional Mexicano 769, Amp Granada, Miguel Hidalgo, 11520 Ciudad de México, CDMX",0,Biochar Carbon Removal (BCR)
Vycarb,"19 Morris Ave, Brooklyn NY",0,Ocean Alkalinity Enhancement
44.01,"100 Cannon Street, London, GB",0,In-situ Mineralization
EDAC Labs,"Baltimore, MD US",0,Enhanced Weathering
Cella,"New York, New York",0,In-situ Mineralization
Applied Carbon,"10194 Fairbanks N Houston Rd, Houston, TX, US",0,Biochar Carbon Removal (BCR)
Arca,"2366 Main Mall, Vancouver, British Columbia V6T 1Z4",0,Surficial Mineralization
Exterra Carbon Solutions,"Montreal, Quebec",0,Ex-situ Mineralization
Deep Sky,"690 Av. Hartland, Outremont, QC H2V 1S2, Canada",0,Direct Air Carbon Capture and Storage (DACCS)
agriCARBON,"Purkyňova 649/127, Medlánky, 612 00 Brno, CZ",0,Biochar Carbon Removal (BCR)
Elimini,757 N. Eldridge Parkway    Suite 800G   Houston  Texas 77079  United States of America,0,Bioenergy with Carbon Capture and Storage (BECCS)
Spiritus,"Los Alamos, NM 87544, United States",0,Direct Air Carbon Capture and Storage (DACCS)
Terradot,"220 Montgomery St, San Francisco, CA 94104, USA",0,Enhanced Weathering
Banyu Carbon,"4000 Mason Rd, Seattle, WA 98195, United States",0,Direct Ocean Removal (DOR)
Carbon Limit,"901 NW 35th St, Boca Raton, FL 33431, USA",0,Ex-situ Mineralization
Arukah,"160 Robinson Rd, SBF Center, Singapore 068914",0,Biochar Carbon Removal (BCR)
DarkBlack Carbon,"46 High Street, Esher, England, KT10 9QY",0,Biochar Carbon Removal (BCR)
Sustaera,"5001 Weston Pkwy, Cary, North Carolina 27513, US",0,Direct Air Carbon Capture and Storage (DACCS)
Nellie Technologies,"Penrhyn-coch, Plas Gogerddan, Aberystwyth SY23 3EE, United Kingdom",0,Direct Air Carbon Capture and Storage (DACCS)
Carbo Kollerup,Address not found,0,Biochar Carbon Removal (BCR)
Mission Zero,"115 Witan Street, London E2 6GG, UK",0,Direct Air Carbon Capture and Storage (DACCS)
AtmosClear,Address not found,0,Bioenergy with Carbon Capture and Storage (BECCS)
Pull To Refresh,"Lucerne, CA, USA",0,Marine Biomass Sinking
The Carbon Removers,"Old Military Road, Crocketford, Scotland DG2 8, GB",0,Bioenergy with Carbon Capture and Storage (BECCS)
Heimdal,"58 Wood Ln, London W12 7RZ, UK",0,Direct Air Carbon Capture and Storage (DACCS)
RepAir,"Industrial zone, Yokne am Illit, IL",0,Direct Air Carbon Capture and Storage (DACCS)
Bio-Logical,"24CM+PC, Kabati, Kenya",0,Biochar Carbon Removal (BCR)
Carbon To Stone,"Ithaca, New York, US",0,Enhanced Weathering
Restord Ltd,"Liskeard, Cornwall",0,Biochar Carbon Removal (BCR)
Tambora Carbon Removal,Address not found,0,Enhanced Weathering
Capture6,"Berkeley, CA, US",0,Direct Air Carbon Capture and Storage (DACCS)
Seaweed Generation,"London, UK",0,Marine Biomass Sinking
Hafslund Celsio,Hafslund AS Pb. 990 Skøyen 0247 Oslo,0,Bioenergy with Carbon Capture and Storage (BECCS)
Towing,"Nagoya University Facilty of Incubation 1 Furocho, Chikusa-ku, Nagoya-shi, Aichi",0,Biochar Carbon Removal (BCR)
Alt Carbon,"240/B, 3rd floor, A.J.C. Bose Road, Kolkata, West Bengal, India",0,Enhanced Weathering
Inherit Carbon Solutions,"Filipstad Brygge 1 0252 Oslo, Norway",0,Bioenergy with Carbon Capture and Storage (BECCS)
BioCirc,"Amaliegade 22, 1256 København, Denmark",0,Bioenergy with Carbon Capture and Storage (BECCS)
Carbonity,"Port-Cartier, Quebec, Canada",0,Biochar Carbon Removal (BCR)
Silica,"Innovation Centre, ATU Sligo, Ash Lane, Sligo, F91 YW50, Ireland",0,Enhanced Weathering
CREW,"New Haven, CT, US",0,Enhanced Weathering
Ebb Carbon,"San Carlos, California, US",0,Direct Ocean Removal (DOR)
280 Earth,"3223 Hanover Street  Suite 110  Palo Alto, CA 94304",0,Direct Air Carbon Capture and Storage (DACCS)
ARC,"Vindmøllevej 6, 2300 København, Denmark",0,Bioenergy with Carbon Capture and Storage (BECCS)
Calcite by 8 Rivers Capital & Origen,"406 Blackwell St, 4th Floor, Durham, US",0,Direct Air Carbon Capture and Storage (DACCS)
CarbonBlue,"Haifa, Israel",0,Direct Ocean Removal (DOR)
Travertine,"1900 55th St, Boulder, CO 80301, United States",0,Enhanced Weathering
Gigablue,"169 Madison Ave, New York, NY 10016, USA",0,Direct Ocean Removal (DOR)
